icao,"name",lat,lon,runways,ils
DNAA,"Nnamdi Azikiwe Intl",9.0067905,7.263171,1,2
DNCA,"Calabar",4.976046,8.3472985,1,1
DNIL,"Ilorin",8.440115,4.4939685,1,2
DNJO,"Yakubu Gowon",9.6398225,8.869083,1,1
DNKA,"Kaduna",10.6958665,7.3201445,1,1
DNKN,"Mallam Aminu Intl",12.04778425,8.524852,2,3
DNMA,"Maiduguri",11.855243,13.081285,1,2
DNMM,"Lagos Murtala Muhammed",06.57876300,003.32064000,2,3
DNMN,"Minna New",9.65234,6.46235,1,1
DNPO,"Port Harcourt Intl",5.0154555,6.949529,1,1
DNSO,"Sadiq Abubakar Iii Intl",12.915896,5.2068945,1,1
DNYO,"Yola",9.263721,12.43125325,2,1
DRRN,"Diori Hamani",13.482967,2.181087,2,1
DTKA,"Tabarka 7 Novembre",36.9801655,8.875125,1,1
DTMB,"Monastir Habib Bourguiba Intl",35.76015400,010.75173800,1,1
DTNH,"Enfidha-hammamet",36.08652800,010.44280600,1,1
DTTA,"Carthage",36.84470750,010.21733470,2,3
DTTJ,"Djerba Zarzis",33.87159500,010.77768000,1,1
DTTZ,"Nefta",33.93961,8.1011095,1,1
DXNG,"Niamtougou",09.77596511,001.09879213,1,1
DXXX,"Gnassingbe Eyadema Intl",06.16907140,001.25265009,1,1
EBAW,"Antwerp Deurne",51.18829300,004.45152800,2,1
EBBE,"Beauvechain",50.75734806,004.77850833,2,1
EBBL,"Kleine Brogel",51.16948871,005.46652649,2,1
EBBR,"Brussels Airport",50.90729000,004.50873800,3,4
EBCI,"Brussels South - Charleroi",50.45861182,004.45498645,1,1
EBCV,"Chievres Ab",50.57683900,003.83107700,1,1
EBFS,"Florennes",50.23357581,004.65355906,2,1
EBKT,"Wevelgem",50.82042566,003.21792233,1,1
EBLG,"Liege",50.63785800,005.45442300,2,1
EBOS,"Oostende",51.20396100,002.86861000,1,2
EDAC,"Altenburg Nobitz",50.97969100,012.51478400,1,1
EDAH,"Heringsdorf",53.87839900,014.14010700,2,1
EDBC,"Magdeburg Cochstedt",51.8559265,11.418004,2,1
EDDB,"Berlin Schoenefeld",52.38644400,013.51633700,2,2
EDDC,"Dresden",51.12841714,013.76738466,1,2
EDDE,"Erfurt",50.97397900,010.96330100,1,2
EDDF,"Frankfurt Am Main",50.04511800,008.55821800,4,6
EDDG,"Muenster Osnabrueck",52.13026423,007.68294475,1,2
EDDH,"Hamburg",53.62456470,009.99070294,2,4
EDDK,"Koln Bonn",50.86933700,007.13296000,3,3
EDDL,"Duesseldorf",51.27879852,006.77055632,2,4
EDDM,"Muenchen Franz-josef Strauss",48.35304600,011.78605400,2,4
EDDN,"Nurnberg",49.49535100,011.07014800,1,2
EDDP,"Leipzig-halle",51.42159200,012.23447300,2,4
EDDR,"Saarbrucken",49.21910840,007.11238423,2,1
EDDS,"Stuttgart",48.68462203,009.22023699,1,3
EDDT,"Berlin Tegel",52.55463000,013.29331000,2,4
EDDV,"Hannover",52.46093797,009.68178867,3,4
EDDW,"Bremen",53.05044800,008.78907500,2,2
EDFH,"Frankfurt Hahn",49.95278900,007.28046000,1,2
EDFM,"Mannheim City",49.47639752,008.52069752,2,1
EDGS,"Siegerland",50.70734001,008.07647850,3,1
EDHI,"Hamburg Finkenwerder",53.53059600,009.84078900,1,2
EDHK,"Kiel Holtenau",54.38307249,010.14395598,2,1
EDHL,"Lubeck Blankensee",53.80503059,010.70175816,1,1
EDJA,"Memmingen Allgau",47.988757,10.239502,1,1
EDLN,"Monchengladbach",51.22936200,006.49986400,1,2
EDLP,"Paderborn Lippstadt",51.61026800,008.61864100,1,2
EDLV,"Niederrhein",51.6024555,6.142132,1,1
EDLW,"Dortmund-wickede",51.51643770,007.61672018,1,2
EDMA,"Augsburg",48.42408000,010.93587900,2,1
EDMO,"Oberpfaffenhofen",48.08952700,011.27136200,1,1
EDNY,"Friedrichshafen",47.66952970,009.51461593,2,1
EDOP,"Schwerin Parchim",53.43247964,011.78417164,1,1
EDQM,"Hof Plauen",50.28602600,011.86924000,1,1
EDRZ,"Zweibrücken",49.20882770,007.39559858,1,2
EDSB,"Karlsruhe Baden Baden",48.77879300,008.09265900,1,2
EDTL,"Lahr",48.3692515,7.827725,1,2
EDTY,"Schwabisch Hall",49.1184735,9.78523875,2,1
EDVE,"Braunschweig-wolfsburg",52.31518600,010.55599300,2,1
EDVK,"Kassel Calden",51.40488941,009.37814754,3,1
EDXW,"Westerland Sylt",54.91383446,008.33043848,2,1
EETN,"Tallinn",59.4132565,24.832803,1,2
EFET,"Enontekio",68.35937500,023.42659800,1,1
EFHA,"Halli",61.85289100,024.78823600,1,1
EFHK,"Helsinki Vantaa",60.32041900,024.96772400,3,5
EFIV,"Ivalo",68.60841400,027.42059300,2,1
EFJO,"Joensuu",62.65734700,029.61484900,2,1
EFJY,"Jyvaskyla",62.40500400,025.67541900,1,1
EFKA,"Kauhava",63.11985600,023.04382400,1,1
EFKE,"Kemi Tornio",65.78026600,024.57584000,1,1
EFKI,"Kajaani",64.2854705,27.6924165,1,1
EFKK,"Kruunupyy",63.71908800,023.13401600,2,1
EFKS,"Kuusamo",65.99611600,029.22538900,1,1
EFKT,"Kittila",67.69566300,024.85803600,1,1
EFKU,"Kuopio",63.00859900,027.79010200,2,1
EFLP,"Lappeenranta",61.04402900,028.15616400,1,1
EFMA,"Mariehamn",60.12208200,019.90752400,1,1
EFMI,"Mikkeli",61.68772000,027.20850900,1,1
EFOU,"Oulu",64.92979400,025.37160500,1,1
EFPO,"Pori",61.46792300,021.79422700,2,1
EFRO,"Rovaniemi",66.56268300,025.83678400,1,1
EFSA,"Savonlinna",61.94363800,028.93176500,1,1
EFSI,"Seinajoki",62.69251200,022.82463500,1,1
EFTP,"Tampere Pirkkala",61.41982300,023.61186900,1,1
EFTU,"Turku",60.51189400,022.27479200,1,1
EFVA,"Vaasa",63.05065,21.7621735,1,1
EFVR,"Varkaus",62.17187400,027.86219600,1,1
EFYL,"Ylivieska",64.054443,24.722407,1,1
EGAA,"Belfast Aldergrove",54.65351500,-006.22281000,2,2
EGAC,"Belfast City",54.61348300,-005.87352500,1,1
EGAE,"Londonderry Eglinton",55.03975213,-007.15586934,1,1
EGBB,"Birmingham",52.45016809,-001.75066171,1,1
EGBE,"Coventry",52.37222745,-001.48117587,1,1
EGCC,"Manchester Intl",53.36142586,-002.27169525,2,2
EGCD,"Manchester Woodford",53.33795653,-2.14918057,1,1
EGCN,"Doncaster Sheffield",53.48169100,-000.99598900,1,1
EGDC,"Royal Marines Base Chivenor",51.08947839,-004.14879145,3,1
EGDL,"Raf Lyneham",51.50370315,-001.99234136,2,1
EGDM,"Boscombe Down",51.15623962,-001.73655308,3,1
EGFF,"Cardiff",51.39885242,-003.34066894,1,1
EGGD,"Bristol International",51.38601946,-002.71473245,1,1
EGGP,"Liverpool",53.32995699,-002.84762614,1,1
EGGW,"London Luton",51.87785888,-000.37570190,1,1
EGHD,"Plymouth",50.42282019,-004.10967848,1,1
EGHH,"Bournemouth",50.77922178,-001.83574503,1,1
EGHI,"Southampton",50.95227696,-001.35938632,1,1
EGHQ,"Newquay",50.44075878,-4.99533419,1,1
EGJB,"Guernsey",49.43271567,-002.59793396,1,1
EGJJ,"Jersey",49.20625292,-002.19559302,1,2
EGKB,"Biggin Hill",51.33196700,000.02918000,2,1
EGKK,"London Gatwick",51.15422185,-000.18405755,2,1
EGLC,"London City",51.50397905,000.04982496,1,1
EGLF,"Farnborough",51.27931805,-000.77736169,1,1
EGLL,"London Heathrow",51.47187295,-000.46557454,2,2
EGMC,"Southend",51.56772709,000.70078198,1,1
EGMD,"Lydd",50.95696464,000.93643037,1,1
EGMH,"Manston",51.34354045,001.35096670,1,1
EGNH,"Blackpool",53.77638928,-003.03874305,3,1
EGNJ,"Humberside",53.58309540,-000.34841530,2,1
EGNL,"Barrow Walney Island",54.12576401,-003.26182918,3,1
EGNM,"Leeds Bradford",53.86903310,-001.66001027,1,1
EGNO,"Warton Aerodrome",53.74573831,-002.88858971,1,1
EGNR,"Hawarden",53.17617403,-002.98644248,1,1
EGNS,"Isle Of Man Ronaldsway",54.08635299,-004.63331679,2,1
EGNT,"Newcastle",55.04157680,-001.69400884,1,1
EGNV,"Durham Tees Valley",54.51320300,-001.42749088,1,1
EGNX,"East Midlands",52.82637488,-001.33213240,1,1
EGOS,"Raf Shawbury",52.79414698,-002.66357392,2,1
EGOV,"Raf Valley",53.25174182,-004.53640271,3,1
EGPA,"Kirkwall",58.95506845,-002.89751929,2,2
EGPB,"Sumburgh",59.87884263,-001.30041228,3,1
EGPD,"Aberdeen Dyce",57.20537342,-002.20600315,4,1
EGPE,"Inverness",57.53946867,-004.04434196,2,1
EGPF,"Glasgow",55.86977243,-004.43040165,1,1
EGPH,"Edinburgh",55.94555946,-003.36424947,2,1
EGPK,"Prestwick",55.50206212,-004.58297629,2,1
EGPN,"Dundee",56.45393257,-003.01592516,1,1
EGPO,"Stornoway",58.21434912,-006.32548960,2,1
EGQK,"Raf Kinloss",57.64485824,-003.56320638,1,1
EGQL,"Raf Leuchars",56.37710271,-002.86083282,2,1
EGQS,"Raf Lossiemouth",57.71163529,-003.32219561,2,1
EGSC,"Cambridge",52.20807367,000.17278696,3,1
EGSH,"Norwich",52.67916100,001.27722044,2,1
EGSS,"London Stansted",51.88530868,000.25441800,1,1
EGTC,"Cranfield",52.07027717,-000.62670345,4,1
EGTE,"Exeter",50.73152471,-003.41642698,1,1
EGTG,"Bristol Filton",51.52212642,-002.57754895,1,1
EGTK,"Oxford Kidlington",51.83282239,-001.31585615,4,1
EGUB,"Raf Benson",51.61878585,-001.09985332,1,1
EGUL,"Raf Lakenheath",52.40434611,000.55806950,1,1
EGUN,"Raf Mildenhall",52.36710094,000.48403471,1,1
EGUW,"Raf Wattisham",52.12361247,000.95816881,1,1
EGVA,"Raf Fairford",51.68154113,-001.78257918,1,1
EGVN,"Raf Brize Norton",51.74717584,-001.58617234,1,1
EGVO,"Raf Odiham",51.23016515,-000.93702056,1,1
EGWU,"Raf Northolt",51.54932629,-000.41521648,1,1
EGXC,"Raf Coningsby",53.09471117,-000.17015450,1,1
EGXE,"Raf Leeming",54.29339891,-001.54066001,1,1
EGXG,"Raf Church Fenton",53.83539677,-001.19925341,2,1
EGXJ,"Raf Cottesmore",52.73310160,-000.64785415,1,1
EGXP,"Raf Scampton",53.30598569,-000.54829482,1,1
EGXU,"Raf Linton On Ouse",54.04507417,-001.25072858,2,1
